Metric,AE_mean,AE_std,Full_Both,Better
Clinical Precision,0.18262711361227804,0.17167023103226306,0.164,AE
Clinical Recall,0.6096230552916038,0.32595103583647683,0.109,AE
Clinical F1,0.24176852365850718,0.1922799855769042,0.08,AE
Clinical FPR,0.17731008261362877,0.09787791659466424,0.059,Full_Both
Anomaly Rate (%),20.044133121768674,9.687210912737736,5.9,Full_Both
Isolated Fraction (%),25.051107325894005,7.89472566739101,26.35,AE
Mean Cluster Length,11.259677919625291,8.256854439649826,,—
CV %,11.143805816830984,11.723838113722978,0.5,Full_Both
Separation Ratio,2.4050980765594363,1.8134727370878827,1.07,AE
Mean Inf Latency (ms),0.05112349202527363,0.0028825091863137003,0.05,Full_Both
Training Time (s/case),0.14079349720462536,0.26028867018346047,0.4,AE
