Case,AE_anomaly_rate_%,FB_anomaly_rate_%,AE_FPR,FB_FPR,AE_F1,FB_F1,AE_CV_%,AE_IsolatedFrac_%,AE_TrainingTime_s
1,13.04,0.0,0.109,0.0,0.306,0.0,1.26,16.67,0.86
2,21.06,1.6,0.206,0.009,0.113,0.032,4.56,34.07,0.07
3,23.96,43.5,0.187,0.47,0.423,0.019,2.31,14.29,0.1
4,17.89,3.6,0.178,0.036,0.013,0.039,1.27,45.71,0.07
5,32.98,1.0,0.342,0.009,0.008,0.0,46.94,33.33,0.07
6,18.7,1.8,0.16,0.015,0.298,0.088,1.33,22.22,0.07
7,7.5,2.8,0.071,0.028,0.114,0.02,5.4,28.0,0.07
8,20.86,9.3,0.26,0.112,0.081,0.054,5.06,11.76,0.08
9,24.67,20.3,0.235,0.026,0.214,0.236,4.67,22.22,0.07
10,6.7,0.0,0.061,0.0,0.152,0.0,8.1,21.74,0.07
11,19.15,3.2,0.184,0.026,0.105,0.204,10.14,30.77,0.07
13,10.71,8.0,0.087,0.08,0.322,0.072,18.92,51.02,0.07
14,20.34,21.3,0.14,0.017,0.435,0.197,7.36,8.7,0.07
15,32.14,15.6,0.175,0.017,0.713,0.204,18.37,18.42,0.07
16,14.21,3.1,0.131,0.033,0.183,0.029,12.71,16.67,0.07
